pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
1373,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1371,nathansobo,Employees,nathansobo,Employees,Yes
1367,probablycorey,Employees,probablycorey,Employees,Yes
1366,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1360,probablycorey,Employees,probablycorey,Employees,Yes
1355,probablycorey,Employees,probablycorey,Employees,Yes
1354,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1350,probablycorey,Employees,probablycorey,Employees,Yes
1348,nathansobo,Employees,nathansobo,Employees,Yes
1347,zcbenz,Employees,zcbenz,Employees,Yes
1343,jasonrudolph,Employees,probablycorey,Employees,No
1340,benogle,Volunteers,benogle,Volunteers,Yes
1337,nathansobo,Employees,nathansobo,Employees,Yes
1335,mcolyer,Employees,mcolyer,Employees,Yes
1334,nathansobo,Employees,nathansobo,Employees,Yes
1329,probablycorey,Employees,probablycorey,Employees,Yes
1327,mcolyer,Employees,mcolyer,Employees,Yes
1326,nathansobo,Employees,nathansobo,Employees,Yes
1325,probablycorey,Employees,probablycorey,Employees,Yes
1324,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1322,benogle,Volunteers,benogle,Volunteers,Yes
1320,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1309,shama,Volunteers,kevinsawicki,Employees,No
1308,benogle,Volunteers,benogle,Volunteers,Yes
1307,nathansobo,Employees,nathansobo,Employees,Yes
1305,nathansobo,Employees,nathansobo,Employees,Yes
1298,mcolyer,Employees,mcolyer,Employees,Yes
1297,benogle,Volunteers,benogle,Volunteers,Yes
1296,nathansobo,Employees,nathansobo,Employees,Yes
1292,nathansobo,Employees,nathansobo,Employees,Yes
1286,nathansobo,Employees,nathansobo,Employees,Yes
1284,mcolyer,Employees,mcolyer,Employees,Yes
1283,nathansobo,Employees,nathansobo,Employees,Yes
1282,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1281,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1276,nathansobo,Employees,nathansobo,Employees,Yes
1271,probablycorey,Employees,probablycorey,Employees,Yes
1266,nathansobo,Employees,nathansobo,Employees,Yes
1265,nathansobo,Employees,nathansobo,Employees,Yes
1259,thedaniel,Volunteers,thedaniel,Volunteers,Yes
1258,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1249,nathansobo,Employees,nathansobo,Employees,Yes
1247,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1246,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1240,benogle,Volunteers,benogle,Volunteers,Yes
1237,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1236,cameronmcefee,Volunteers,kevinsawicki,Employees,No
1220,shama,Volunteers,kevinsawicki,Employees,No
1219,zcbenz,Employees,zcbenz,Employees,Yes
1218,shama,Volunteers,benogle,Volunteers,No
1208,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1193,mattgraham,Volunteers,benogle,Volunteers,No
1192,zcbenz,Employees,zcbenz,Employees,Yes
1191,zcbenz,Employees,zcbenz,Employees,Yes
1190,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1184,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1182,mattgraham,Volunteers,benogle,Volunteers,No
1180,zcbenz,Employees,zcbenz,Employees,Yes
1174,probablycorey,Employees,kevinsawicki,Employees,No
1169,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1168,probablycorey,Employees,probablycorey,Employees,Yes
1166,kevinsawicki,Employees,kevinsawicki,Employees,Yes
1161,benogle,Volunteers,benogle,Volunteers,Yes
